statement,translation
נפשי קרני הירח שבו אל,My soul beams the moon where to
ליבי אור שמחה בליבי אושר,My heart is a happy light in my heart
אותי מציף עוד אני יושבת,I get overwhelmed while I sit down.
לעלם אחכה,I'll wait
רוצי רוצי בובתי בובתי סובי,Run! Run! Dolls! Dolls!
סובי סובבי סובבי בובה בובתי,Suvi Rotate Puppet Doll
יפה יפתי אוהבת אוהבת אותי,Beautiful beautiful love loves me
בואי נלך אל הגן אקטוף,Let's go to the Aktouf Garden
לך שושן בובה בובתי יפה,Go lily-dolly Pretty doll
יפתי אוהבת אוהבת אותי בואי,My beautiful love loves me Come
נלך ללונה פארק ללונה פארק,We'll go to Luna Park to Luna Park.
ללונה פארק שם נרכב על,To Luna Park where we'll ride
הגלגל על הגלגל על הגלגל,The wheel on the wheel
בובה בובתי יפה יפתי אוהבת,My beautiful beautiful doll doll loves
אוהבת אותי,Love me
בבוקר אביבי יצאתי לדרכי יצאתי,Early in the morning I went out.
לשוטט בעולם היום היה בהיר,Wandering the world today was bright
גם מתנגן לי שיר הכל,I also have a song about everything.
נראה צעיר מצוין רק טיפת,Looks young. Excellent. Just a drop.
כאב נשרה לתוך הלב לו,Pain fell into his heart.
רק היה לי מי שיאהב,I just had someone to love.
שיתחלק איתי בבוקר אביבי עולם,Share with me on a spring morning.
יפה כל כך רחב כך,So beautiful so wide
הרחקתי לנדוד הרחקתי לנדוד מאוד,I've traveled far. I've traveled far.
כמעט הגעתי אל קצה עולם,I almost reached the end of the world.
פתאום צפור קטנה בתוך הילה,Suddenly a little bird in a halo
היא לחשה אהובך ממתין ממתין,She whispered your lover is waiting Waiting
אי שם פקחתי את עיני,Somewhere I opened my eyes.
אימצתי את אוזני הייתי סקרנית,"I picked up my ears, I was curious."
עד מאוד פתע לפני ניצב,Very surprised before a prefect
חלום חיי הוא רק חייך,My dream life is just your life
אליי לא עוד פתאום הכל,To me not all of a sudden
היה הרבה יותר נפלא גם,It was much more wonderful too.
הצבעים גם הריחות הוא הושיט,The colors also the smells he held out
לי יד לצידי צעד כך,I've got my hand by my side Step like this
יחדיו המשכנו לנדוד מאז עד,Together we have continued to wander ever since.
היום חיי הם כמו חלום,Today my life is like a dream
הוא לצידי אני לצידו כל,He's by my side I'm by his side
יום כבר שיר יפה עשיר,A beautiful rich song.
מהנה הוא אוהב אותי אני,Fun He Loves Me I
אותו העולם נרגע בזכותו,The world calmed down because of him.
באמצע רחובות בחושך אפלה יושבת,In the middle of dark streets sits dark
לבד ילדה קטנה יושבת בוכיה,Alone A Little Girl Sits Crying
מתחננת יושבת בוכיה מתמרמרת הוי,Begging Sittin' Weeping Indignant Ho
אמא לפתע עזבה בחושך אותי,Mom suddenly left in the dark for me
השאירה באמצע רחובות בחושך אפלה,Left in the middle of streets in dark darkness
יושבת ילדה קטנה יושבת ילדה,Sitting Little Girl Sitting Girl
קטנה יושבת בוהה היא אל,Little sit staring She's a god
העולם ליבה פורץ כמו תוף,The world her heart breaks out like a drum
קטן דמעה חמה ירדה לה,A little warm tear dropped her
דמעה חמה ירדה לה באמצע,A hot tear dropped in the middle.
רחובות בחושך אפלה יושבת ילדה,Streets in the Dark Sitting Girl
קטנה יושבת לבד את אימה,Little girl sitting alone her mother
רוצה זעקה קטנה מפיה פרצה,You want a little cry from her mouth burst
אלוהים שמע את קולי בוכה,God heard my voice cry
אני לאימי,I'm to my mother
בי נשבעתי לך התפללתי אל,I swear to you I prayed to
רחום לי חנון רק ביקשתי,"I'm sorry, nerd. I just asked."
לך התחננתי בשעת צרה לי,I begged you in my hour of need.
זעקתי פתח השער שער שמיים,I cried the gate open Heaven's gate
הכניסני לעולמך יומם לילה הוגה,Enter me into your world Day Night Thinker
שמך תפילת הקודש על שפתיי,Thy name is holy prayer on my lips
ידיי למעלה אבי אתה אל,My hands are up Father You're a god
תעזבני בנכר דמעותיי מכאב נגרו,Leave me in foreign My tears from the pain of Negro
תחת כנפיך קחני,Under your wings Take me
הוא לחש לה את היחידה,He whispered to her the only
כשחיבק אותה לראשונה זה כלל,When he first hugged her it was a rule
לא איכפת לי שאת צעירה,I don't care that you're young.
כך אמר לה כשנישק אותה,That's what he said when he kissed her.
הוא בן שלושים היא רק,He is only thirty years old.
בתיכון בכל זאת אהבתם פרחה,"In high school, their love blossomed."
הוא בן שלושים עשיר בנסיון,He is thirty years old and rich in experience.
היא יש לה לב צעיר,She has a young heart
חם כל החברות אמרו תזהרי,Hot all the girlfriends said Be careful
אהבה כזו סופה אסון היא,Such a disaster storm is
אמרה הניחו זה עניין שלי,She said it was my business.
הוא יהיה איתי עד היום,He will be with me to this day.
האחרון בערבו של קיץ היא,The last of the summer is
טיילה בחול ליבה כמעט חדל,A walk in the sand Her heart almost stopped
לפעום שם עמד בחושך אהובה,Beating there stood in the dark Beloved
מאתמול אחרת הוא חיבק בחום,"From yesterday, he hugged warmly."
א הו יש צו ין,A-ho There's a yin
יש יש את עו או,There's an O.O.
ים רו ים רו עו,Sea Roam Roah
דו דו יך או ים,Doo doo doo doo doo doo doo
ים ים יח יח יץ,
ב ים יט יט יק,"At sea, it's a big deal."
יא אל ין או עו,Ya Al Yen or O
דו קו מו ים עו,Du Ko Mo Sea Occurrence
יו יו ים עו דו,Yo yo yum do.
דו יך או יך יפ,Do you like it?
יפ טו ה עו יץ,Yip Tuh Utz
ג בו או יט או,G. Boo O. Y. O.
נו קו צו רו נו,"No, no, no, no."
הו הו צו יפ ית,"Oh, oh, oh, my God."
ית או יט ית עו,It's not like I'm gonna do it.
דו ית עו את או,You're gonna do it or...
אי הו עו קו הו,Ai Ho Oo Oo Oo Oo
יר,Yir
שמור פינה בליבך עד ערוב,Keep a corner in your heart until vouch
ימי זכור את גן הורדים,Days Remember the Rose Garden
בו שתלנו חיים זכים היינו,Where we planted a clean life we were
תמימים חלמנו על כוכב שנפל,Innocent we dreamed of a fallen star
הדרך נזהרה צליל פעמון לא,The way was careful Bell sound No
נשמע מילים יפות של שירים,Beautiful words of songs.
על עץ אגוז כתובים אניח,On a walnut tree are written I will place
ראשי למנוחה אולי כך יחלוף,My head to rest Maybe so will pass
מכאובי סיפור קטן חלמתי על,A little story I dreamt of
ימי רדים על אדן החלון,Red days on the windowsill
מול עצי האלון מחכה בדממה,In front of the oak trees waits in silence
אולי אראה אותך עלים נשרו,Maybe I'll see you. The leaves have fallen.
ימים יעירו את דמותך שתחלוף,Days will awaken your image that will pass
הדרך נזהרה צליל פעמון לא,The way was careful Bell sound No
נשמע מילים יפות של שירים,Beautiful words of songs.
על עץ אגוז כתובים אניח,On a walnut tree are written I will place
ראשי למנוחה אולי כך יחלוף,My head to rest Maybe so will pass
מכאובי סיפור קטן חלמתי על,A little story I dreamt of
ימי רדים,Red Seas
דמעה חמה ירדה על לב,A warm tear fell on her heart.
נעלמה הצל קפא כאור חיוור,The shadow was frozen like a pale light.
על פני רציתי רק לאהוב,I just wanted to love
אותך רציתי רק להרגיש הנשמה,I just wanted to feel the soul.
עולם אכזר לי לך לא,A cruel world to you No
נדע מהי אהבה הלב זועק,We will know what love is Heart cries out
הכל נחנק עד דמעה הצל,Everything was strangled until the shadow tear
נפל נטול שם בפינה רציתי,Fell nameless in the corner I wanted
רק להחזיק את ידך רציתי,Just hold your hand I wanted
רק לנשק את עינייך,Just kiss your eyes.
דרך החול הלך אהובי ריח,Through the sand went my beloved smell
יסמין מור של פריחות לילה,Jasmine Moore of Night Blossoms
קסום מעיר את אבי אני,Magic awakens my father I
לבד בשמלת כלולות דוד לבבי,Alone in a wedding dress Uncle Libby
הלך לשוטט בכרך בוא אהובי,"Gone to roam the vineyard Come, my love"
חזור בוא הבא לי אור,Come back. Bring me light.
